Nr,ID,POINT_X,POINT_Y,Sand,Silt,Clay,Ca,set
427,A655,756611.0,7520099.0,43,14,43,33,cal_candidate
180,A657,756308.063,7519589.0,25,15,60,25,cal_candidate
181,A659,756203.75,7519590.5,16,15,69,34,cal_candidate
183,A661,756203.75,7519689.5,12,19,69,28,cal_candidate
299,A667,756103.125,7519786.5,14,24,62,35,cal_candidate
327,A671,755811.188,7519385.0,33,15,52,36,cal_candidate
328,A673,755808.688,7519483.0,29,16,55,43,cal_candidate
329,A675,755805.25,7519584.5,24,16,60,46,cal_candidate
330,A677,755805.25,7519784.5,20,19,61,92,cal_candidate
333,A679,755909.938,7519585.0,22,18,60,46,cal_candidate
334,A681,755912.813,7519485.5,31,14,55,56,cal_candidate
335,A683,755914.375,7519384.5,37,14,49,53,cal_candidate
3,A685,757892.438,7520517.5,86,2,12,7,cal_candidate
120,A687,758212.875,7520025.5,88,2,10,4,cal_candidate
5,A689,758008.875,7520621.0,88,2,10,12,cal_candidate
91,A691,758278.438,7520225.0,84,4,12,10,cal_candidate
119,A693,758207.938,7520127.0,84,4,12,10,cal_candidate
282,A695,757817.063,7519016.5,86,4,10,18,cal_candidate
408,A697,756983.125,7521204.0,82,4,14,12,cal_candidate
413,A699,757393.875,7520610.5,86,4,10,5,cal_candidate
448,A701,757795.5,7520317.5,82,4,14,7,cal_candidate
455,A705,757593.75,7520413.0,86,4,10,9,cal_candidate
352,A709,756393.313,7520198.0,37,18,45,56,cal_candidate
356,A711,756395.313,7520295.5,45,14,41,44,cal_candidate
453,A713,757795.125,7520417.0,84,2,14,8,cal_candidate
9,A717,758113.688,7520518.5,86,2,12,7,cal_candidate
16,A721,758395.5,7520426.5,88,2,10,9,cal_candidate
62,A723,758711.438,7519329.0,86,4,10,14,cal_candidate
239,A725,757409.75,7519309.0,88,2,10,16,cal_candidate
263,A729,756614.063,7519197.0,82,4,14,15,cal_candidate
268,A731,757316.063,7519108.0,84,4,12,21,cal_candidate
271,A733,757615.938,7519113.5,84,4,12,10,cal_candidate
274,A735,757913.063,7519113.0,88,4,8,16,cal_candidate
291,A737,757813.938,7518922.0,80,6,14,18,cal_candidate
315,A739,756811.313,7519905.0,76,6,18,13,cal_candidate
373,A741,756791.25,7520503.5,84,4,12,7,cal_candidate
376,A745,756392.063,7520493.5,86,4,10,10,cal_candidate
378,A747,756191.5,7520494.0,82,4,14,5,cal_candidate
386,A755,756889.25,7520705.0,84,4,12,9,cal_candidate
387,A757,756787.938,7520701.5,86,4,10,10,cal_candidate
