"Nr","ID","POINT_X","POINT_Y","Sand","Silt","Clay","Ca","set"
27,"A99",758807.5,7520236,84,2,14,5,"cal_candidate"
487,"B99",758807.5,7520236,82,2,16,4,"cal_candidate"
30,"A101",758811,7519933,84,4,12,10,"cal_candidate"
490,"B101",758811,7519933,82,2,16,5,"cal_candidate"
32,"A103",758908.625,7520037,86,4,10,8,"cal_candidate"
492,"B103",758908.625,7520037,82,2,16,4,"cal_candidate"
35,"A105",759008.438,7520138,84,2,14,12,"cal_candidate"
495,"B105",759008.438,7520138,82,2,16,2,"cal_candidate"
36,"A107",759013.75,7520040.5,82,4,14,12,"validation"
496,"B107",759013.75,7520040.5,82,2,16,6,"validation"
37,"A109",759013.5,7519939.5,86,2,12,14,"cal_candidate"
497,"B109",759013.5,7519939.5,80,2,18,6,"cal_candidate"
38,"A111",759012.125,7519834,84,4,12,6,"cal_candidate"
498,"B111",759012.125,7519834,80,4,16,1,"cal_candidate"
40,"A113",759111.875,7520039.5,80,4,16,9,"cal_candidate"
500,"B113",759111.875,7520039.5,78,4,18,3,"cal_candidate"
43,"A115",759231.813,7520040,80,4,16,8,"cal_candidate"
503,"B115",759231.813,7520040,76,6,18,3,"cal_candidate"
44,"A117",759230.625,7519940.5,82,4,14,15,"validation"
504,"B117",759230.625,7519940.5,78,2,20,4,"validation"
45,"A119",759331.188,7520045.5,82,4,14,11,"cal_candidate"
505,"B119",759331.188,7520045.5,80,2,18,3,"cal_candidate"
46,"A121",759009.938,7519435.5,84,4,12,12,"validation"
506,"B121",759009.938,7519435.5,82,2,16,4,"validation"
47,"A123",758904.375,7519734.5,88,2,10,13,"cal_candidate"
507,"B123",758904.375,7519734.5,82,2,16,2,"cal_candidate"
48,"A125",758904,7519631.5,86,2,12,6,"validation"
508,"B125",758904,7519631.5,76,8,16,2,"validation"
49,"A129",758909.375,7519435,84,6,10,7,"cal_candidate"
509,"B129",758909.375,7519435,76,8,16,2,"cal_candidate"
50,"A131",758810.563,7519332,86,2,12,13,"validation"
510,"B131",758810.563,7519332,78,4,18,2,"validation"
51,"A133",758809.25,7519432,88,2,10,13,"validation"
511,"B133",758809.25,7519432,80,2,18,3,"validation"
52,"A135",758808.938,7519531.5,86,2,12,9,"validation"
512,"B135",758808.938,7519531.5,74,8,18,1,"validation"
53,"A137",758806.125,7519631,86,2,12,11,"cal_candidate"
513,"B137",758806.125,7519631,76,2,22,4,"cal_candidate"
54,"A139",758806.313,7519733.5,86,4,10,12,"validation"
514,"B139",758806.313,7519733.5,80,4,16,4,"validation"
55,"A141",758807,7519834.5,84,6,10,13,"cal_candidate"
515,"B141",758807,7519834.5,82,2,16,7,"cal_candidate"
59,"A143",758706.563,7519631,86,2,12,9,"cal_candidate"
519,"B143",758706.563,7519631,82,2,16,4,"cal_candidate"
60,"A145",758707.188,7519529.5,86,2,12,7,"cal_candidate"
520,"B145",758707.188,7519529.5,82,2,16,2,"cal_candidate"
61,"A147",758711.063,7519435,84,6,10,15,"cal_candidate"
521,"B147",758711.063,7519435,80,2,18,4,"cal_candidate"
63,"A149",758712.375,7519231.5,80,4,16,30,"cal_candidate"
523,"B149",758712.375,7519231.5,78,2,20,7,"cal_candidate"
64,"A151",758614.688,7519127,80,4,16,29,"cal_candidate"
524,"B151",758614.688,7519127,74,4,22,21,"cal_candidate"
65,"A153",758611.438,7519230,76,6,18,56,"validation"
525,"B153",758611.438,7519230,80,2,18,1,"validation"
66,"A155",758612.813,7519328,82,4,14,87,"cal_candidate"
526,"B155",758612.813,7519328,80,2,18,4,"cal_candidate"
67,"A157",758610,7519431.5,84,4,12,20,"validation"
527,"B157",758610,7519431.5,78,2,20,6,"validation"
68,"A159",758606.625,7519527.5,84,4,12,13,"cal_candidate"
528,"B159",758606.625,7519527.5,82,2,16,3,"cal_candidate"
69,"A161",758602.563,7519628,84,4,12,13,"cal_candidate"
529,"B161",758602.563,7519628,80,2,18,3,"cal_candidate"
71,"A163",758608.375,7519830.5,86,2,12,13,"cal_candidate"
531,"B163",758608.375,7519830.5,80,2,18,5,"cal_candidate"
74,"A165",758508.75,7519831,86,2,12,9,"cal_candidate"
535,"B165",758508.75,7519831,80,2,18,2,"cal_candidate"
536,"B167",758501.063,7519725.5,80,2,18,6,"cal_candidate"
537,"B169",758508.125,7519630.5,82,2,16,4,"cal_candidate"
75,"A171",758511.313,7519530,82,4,14,18,"cal_candidate"
76,"A173",758512.125,7519429.5,84,4,12,15,"cal_candidate"
538,"B173",758512.125,7519429.5,80,2,18,3,"cal_candidate"
77,"A175",758508.875,7519326.5,80,4,16,15,"cal_candidate"
539,"B175",758508.875,7519326.5,80,2,18,3,"cal_candidate"
78,"A177",758511.688,7519228,80,4,16,25,"cal_candidate"
540,"B177",758511.688,7519228,78,2,20,4,"cal_candidate"
79,"A179",758515.375,7519126,78,4,18,27,"validation"
541,"B179",758515.375,7519126,74,4,22,4,"validation"
80,"A181",758415.125,7519127,80,4,16,26,"cal_candidate"
542,"B181",758415.125,7519127,78,2,20,17,"cal_candidate"
83,"A183",758408.563,7519427,80,4,16,16,"validation"
545,"B183",758408.563,7519427,78,2,20,4,"validation"
84,"A185",758410.063,7519527,78,2,20,14,"cal_candidate"
546,"B185",758410.063,7519527,78,2,20,5,"cal_candidate"
85,"A187",758402.625,7519622.5,56,24,20,12,"cal_candidate"
547,"B187",758402.625,7519622.5,78,2,20,5,"cal_candidate"
86,"A189",758404.188,7519726,80,4,16,5,"validation"
548,"B189",758404.188,7519726,80,2,18,1,"validation"
87,"A191",758409.625,7519829,82,4,14,13,"validation"
549,"B191",758409.625,7519829,82,2,16,3,"validation"
88,"A193",758411.25,7519928.5,84,2,14,9,"cal_candidate"
550,"B193",758411.25,7519928.5,80,2,18,2,"cal_candidate"
90,"A195",758407.438,7520134,80,2,18,8,"cal_candidate"
552,"B195",758407.438,7520134,74,2,24,11,"cal_candidate"
92,"A197",758306.625,7520131,76,2,22,9,"cal_candidate"
93,"A199",758307.875,7520029,82,2,16,5,"validation"
554,"B199",758307.875,7520029,78,2,20,3,"validation"
94,"A201",758312,7519928,78,4,18,11,"cal_candidate"
95,"A203",758307.688,7519828,80,2,18,10,"cal_candidate"
555,"B203",758307.688,7519828,80,2,18,4,"cal_candidate"
96,"A205",758303.313,7519722.5,78,2,20,14,"validation"
556,"B205",758303.313,7519722.5,78,2,20,5,"validation"
97,"A207",758301.625,7519626,76,2,22,15,"cal_candidate"
557,"B207",758301.625,7519626,72,4,24,2,"cal_candidate"
100,"A209",758308.688,7519327.5,78,2,20,12,"cal_candidate"
559,"B209",758308.688,7519327.5,76,2,22,3,"cal_candidate"
101,"A211",758311.688,7519223.5,78,4,18,12,"validation"
560,"B211",758311.688,7519223.5,76,2,22,2,"validation"
102,"A213",758311.875,7519122.5,78,4,18,12,"cal_candidate"
561,"B213",758311.875,7519122.5,76,4,20,2,"cal_candidate"
104,"A215",758077.25,7520223,80,4,16,9,"cal_candidate"
563,"B215",758077.25,7520223,70,2,28,8,"cal_candidate"
566,"B217",757808.563,7520219,78,2,20,16,"cal_candidate"
107,"A219",757708.75,7520217.5,78,6,16,6,"validation"
567,"B219",757708.75,7520217.5,80,2,18,4,"validation"
108,"A221",757607.75,7520216.5,78,6,16,6,"cal_candidate"
568,"B221",757607.75,7520216.5,80,2,18,6,"cal_candidate"
569,"B223",757505.563,7520215,80,2,18,5,"validation"
109,"A225",757406.25,7520212.5,82,4,14,6,"validation"
570,"B225",757406.25,7520212.5,76,2,22,8,"validation"
110,"A227",757308.125,7520110.5,82,4,14,6,"validation"
571,"B227",757308.125,7520110.5,80,2,18,3,"validation"
111,"A229",757408.563,7520112.5,82,4,14,8,"cal_candidate"
572,"B229",757408.563,7520112.5,80,2,18,12,"cal_candidate"
112,"A231",757506.938,7520115,80,4,16,10,"cal_candidate"
573,"B231",757506.938,7520115,80,2,18,5,"cal_candidate"
113,"A233",757609.313,7520116,80,4,16,9,"cal_candidate"
574,"B233",757609.313,7520116,80,2,18,8,"cal_candidate"
114,"A235",757709,7520117.5,78,6,16,13,"validation"
575,"B235",757709,7520117.5,78,2,20,4,"validation"
115,"A237",757808.188,7520119,82,2,16,7,"cal_candidate"
576,"B237",757808.188,7520119,80,2,18,6,"cal_candidate"
116,"A239",757909.375,7520124.5,74,6,20,8,"validation"
577,"B239",757909.375,7520124.5,76,2,22,4,"validation"
118,"A241",758108.938,7520126.5,76,8,16,13,"cal_candidate"
579,"B241",758108.938,7520126.5,78,2,20,4,"cal_candidate"
121,"A243",758112.375,7520023.5,76,8,16,20,"cal_candidate"
